Complex Name,Address,Arena,Community Centre,Indoor Pool,Indoor Soccer,Library,Outdoor Pool,Fitness Leisure Centre,Skate Park,Spray Pad,Wading Pool,Location 1,Geometry
Fort Garry Library,1360 Pembina Hwy,false,false,false,false,true,false,false,false,false,false,"(49.83951610656452, -97.15136266399969)","MULTIPOLYGON (((-97.151754409297 49.839590410337, -97.151496526226 49.839266939877, -97.15104600555 49.839419160641, -97.150970918702 49.839444531348, -97.151230019099 49.839765273252, -97.151754409297 49.839590410337)))"
Red River C.C,293 Murray Rd,false,true,false,false,false,false,false,false,false,false,"(49.95548825348965, -97.10010716945322)","MULTIPOLYGON (((-97.099514667639 49.954446683073, -97.098216292291 49.955280967095, -97.100964393546 49.956529823906, -97.101998046616 49.955578814656, -97.099514667639 49.954446683073)))"
Richmond Kings C.C,666 Silverstone Ave,true,true,false,false,false,false,false,false,false,false,"(49.79872961382191, -97.13702243499947)","MULTIPOLYGON (((-97.135101099762 49.798602901814, -97.136088874293 49.799823547246, -97.137381176311 49.799385700045, -97.138943770237 49.798856244673, -97.137956504241 49.797635680398, -97.135101099762 49.798602901814)))"
Keenleyside Park,480 Keenleyside St,false,false,false,false,false,false,false,false,false,true,"(49.90714723071584, -97.07167855720297)","MULTIPOLYGON (((-97.073210545206 49.906652479237, -97.071829529572 49.906193798993, -97.071391968982 49.906743419912, -97.070954398313 49.907293039012, -97.070010912197 49.906979733494, -97.069972095066 49.907028480933, -97.070915454199 49.907341809835, -97.07121031367 49.908100662439, -97.07338501934 49.907748081922, -97.073041702721 49.906864511736, -97.073210545206 49.906652479237)))"
Sister McNamara Park,760 Ross Ave,false,false,false,false,false,false,false,false,false,true,"(49.90682685391624, -97.15901382985713)","MULTIPOLYGON (((-97.158958733164 49.906544499488, -97.158833310552 49.906705200736, -97.15857798322 49.907031995375, -97.158977002728 49.907159896361, -97.159449676494 49.906554670497, -97.159259219217 49.906493811471, -97.158958733164 49.906544499488)))"
Champlain C.C,282 Niverville Ave,false,true,false,false,false,false,false,false,false,true,"(49.87602564213826, -97.11428432612271)","MULTIPOLYGON (((-97.114800234752 49.875204011803, -97.11359894253 49.875257309828, -97.113767678326 49.876847272473, -97.114969709715 49.876794040669, -97.114800234752 49.875204011803)))"
Centennial Park,802 Raleigh St,false,false,false,false,false,false,false,false,false,true,"(49.923395369633944, -97.08125793022614)","MULTIPOLYGON (((-97.081761240426 49.922746103262, -97.079381882838 49.92356944721, -97.079548631861 49.923589358481, -97.082141313733 49.92445060607, -97.082882221649 49.923518392398, -97.082901571922 49.92349398107, -97.083133977614 49.923201655841, -97.081761240426 49.922746103262)), ((-97.081458458157 49.922645616124, -97.080538188357 49.922340133198, -97.079465448622 49.923187424203, -97.079683689088 49.92325999671, -97.081458450955 49.922645618617, -97.081458458157 49.922645616124)))"
Victoria Jason Park,255 Redonda St,false,false,false,false,false,false,false,true,false,false,"(49.89788353783237, -96.98134821931677)","MULTIPOLYGON (((-96.979052357865 49.896223706953, -96.97906081893 49.896323167549, -96.979078198517 49.896421462767, -96.979104355521 49.896517794542, -96.979139077572 49.896611380753, -96.97917623532 49.896690360524, -96.979219495709 49.896766169766, -96.979268590185 49.896838337867, -96.979323213977 49.89690641682, -96.979383027989 49.896969984, -96.979530532353 49.897125636659, -96.979569889275 49.897167168799, -96.979640882417 49.897242557557, -96.979705721287 49.897323300433, -96.979764003546 49.897408896398, -96.97981536754 49.897498814311, -96.979859494545 49.897592496212, -96.979900738958 49.897703499233, -96.979931827052 49.897817763413, -96.979952506565 49.89793436157, -96.979962609697 49.898052347583, -96.979983034385 49.899693548055, -96.982812292667 49.89967836628, -96.982797227793 49.898484544485, -96.9836457934 49.89847997736, -96.983631823564 49.897374478568, -96.983186388346 49.8973768245, -96.983185558661 49.897311050966, -96.983183830308 49.897174035445, -96.983182100562 49.897037019897, -96.983180372206 49.89690000437, -96.983178643849 49.89676298884, -96.983176914098 49.896625973283, -96.983175185737 49.896488957747, -96.983173457374 49.896351942208, -96.982969839294 49.896353053291, -96.982757737652 49.896354208873, -96.982545635973 49.896355364965, -96.982333534296 49.896356520669, -96.982121432621 49.896357675985, -96.981909330984 49.896358830014, -96.981697229312 49.896359984554, -96.981468160402 49.896361230928, -96.981464526393 49.896073527609, -96.98142210571 49.896073759457, -96.979937397173 49.896081863726, -96.979517435672 49.89608415187, -96.979050645233 49.896086694261, -96.979052357865 49.896223706953)))"
Westdale C.C - Pembina Trails Site,6363 Rannock Ave,false,true,false,false,false,false,false,false,false,false,"(49.85153205871859, -97.31115246738008)","MULTIPOLYGON (((-97.310022137244 49.851485274489, -97.309997069925 49.851727290232, -97.309969330757 49.851995085176, -97.309941754113 49.852261321851, -97.309907058998 49.852596256995, -97.309989008656 49.852599487571, -97.310437889065 49.852617183313, -97.310481465347 49.852618901558, -97.310901153127 49.852635444045, -97.311278745826 49.852650326443, -97.311671316686 49.852665798196, -97.312170374064 49.852685463961, -97.312173923592 49.852651222903, -97.312177473114 49.852616981846, -97.312194476831 49.852452951326, -97.312211480419 49.852288920797, -97.312227974402 49.852129811168, -97.312228483878 49.852124890261, -97.312245488598 49.851960859737, -97.312262491768 49.851796830083, -97.312279494841 49.851632799522, -97.312296497784 49.851468768953, -97.312313500599 49.851304738376, -97.312330503284 49.85114070779, -97.31234750581 49.850976678096, -97.312364508238 49.850812647494, -97.312381511927 49.850648616905, -97.312400137806 49.850468921854, -97.312390822185 49.850468060314, -97.310014126641 49.850378653476, -97.309904796955 49.851480651036, -97.310022137244 49.851485274489)))"
Ray Fennel Sports Centre,1377 Clarence Ave,true,false,false,false,false,false,false,false,false,false,"(49.83216912020765, -97.16830725683758)","MULTIPOLYGON (((-97.168620588263 49.830615199255, -97.168083141791 49.830796894098, -97.167259037441 49.831075492282, -97.166434923734 49.831354084486, -97.166898175369 49.831924126543, -97.166382275018 49.832098537358, -97.166241097402 49.83214626469, -97.16688175292 49.83293465509, -97.167522427671 49.83372304116, -97.168179562924 49.83350083097, -97.16819681315 49.833522055906, -97.168808673568 49.833315095414, -97.169011474574 49.833246496836, -97.169835815423 49.832967655118, -97.170373416274 49.832785800746, -97.168620588263 49.830615199255)))"
